fileName,secondOffset,eventName,timeToCapture
MON_V_MONT_1H_ESP.mp4,265,missedshot,5
MON_V_MONT_1H_ESP.mp4,465,missedshot,5
MON_V_MONT_1H_ESP.mp4,545,nonevent,10
MON_V_MONT_1H_ESP.mp4,640,missedshot,5
MON_V_MONT_1H_ESP.mp4,805,nonevent,10
MON_V_MONT_1H_ESP.mp4,2205,cardgiven,15
MON_V_MONT_1H_ESP.mp4,2375,goal,15
MON_V_MONT_2H_ESP.mp4,225,nonevent,10
MON_V_MONT_2H_ESP.mp4,434,cardgiven,5
MON_V_MONT_2H_ESP.mp4,608,cardgiven,5
MON_V_MONT_2H_ESP.mp4,2820,goal,8
AUG-BVB_1st_half_ENG.mp4,180,nonevent,10
AUG-BVB_1st_half_ENG.mp4,305,missedshot,5
AUG-BVB_1st_half_ENG.mp4,320,missedshot,5
AUG-BVB_1st_half_ENG.mp4,367,goal,6
AUG-BVB_1st_half_ENG.mp4,750,nonevent,10
AUG-BVB_1st_half_ENG.mp4,762,goal,5
AUG-BVB_1st_half_ENG.mp4,1520,goal,5
AUG-BVB_1st_half_ENG.mp4,1890,nonevent,10
AUG-BVB_2nd_half_ENG.mp4,1010,cardgiven,15
AUG-BVB_2nd_half_ENG.mp4,1520,nonevent,10
AUG-BVB_2nd_half_ENG.mp4,1540,missedshot,5
AUG-BVB_2nd_half_ENG.mp4,1662,cardgiven,10
AUG-BVB_2nd_half_ENG.mp4,1808,cardgiven,10
AUG-BVB_2nd_half_ENG.mp4,2468,missedshot,10
AUG-BVB_2nd_half_ENG.mp4,2528,cardgiven,10
